settings,model,dim,eval,P_2,P_5,P_10,recall_2,recall_5,recall_10,ndcg_cut_2,ndcg_cut_5,ndcg_cut_10,map_cut_2,map_cut_5,map_cut_10,aucroc,,,,
eval.gin.e5.lr0.001.d32.nn[20].fs0.SE.fusion,gin,32,fusion,0.04,0.03,0.04,0.03,0.06,0.15,0.04,0.05,0.09,0.03,0.04,0.05,50.00,,,,100
eval.gin.e5.lr0.001.d64.nn[20].fs0.SE.fusion,gin,64,fusion,0.07,0.05,0.09,0.05,0.09,0.34,0.07,0.08,0.19,0.04,0.05,0.08,50.00,,,,
eval.gin.e5.lr0.001.d128.nn[20].fs0.SE.fusion,gin,128,fusion,0.04,0.03,0.04,0.03,0.06,0.17,0.04,0.05,0.10,0.02,0.03,0.05,50.00,,,,
eval.gs.e5.lr0.001.d32.nn[20].fs0.SE.fusion,gs,32,fusion,0.07,0.08,0.07,0.06,0.15,0.27,0.08,0.12,0.17,0.04,0.07,0.08,59.94,,,,
eval.gs.e5.lr0.001.d32.nn[20].fs0.STE.fusion,gs,32,fusion,24.65,14.26,8.50,36.14,50.39,59.47,35.61,41.88,45.14,32.08,37.53,39.32,81.51,,,,
eval.gs.e5.lr0.001.d32.nn[20].fs0.STEL.fusion,gs,32,fusion,13.14,9.30,5.70,20.35,35.58,42.88,18.79,25.77,28.36,16.74,21.58,22.85,51.06,,,,
eval.gs.e5.lr0.001.d64.nn[20].fs0.SE.fusion,gs,64,fusion,0.04,0.04,0.04,0.04,0.07,0.17,0.04,0.06,0.10,0.03,0.04,0.05,50.01,,,,
eval.gs.e5.lr0.001.d64.nn[20].fs0.STE.fusion,gs,64,fusion,11.28,8.51,5.46,17.17,31.98,41.34,15.71,22.62,25.82,13.70,18.52,20.04,49.45,,,,
eval.gs.e5.lr0.001.d64.nn[20].fs0.STEL.fusion,gs,64,fusion,12.04,8.67,5.46,18.75,33.43,42.06,16.76,23.51,26.46,14.62,19.25,20.62,49.41,,,,
eval.gs.e5.lr0.001.d128.nn[20].fs0.SE.fusion,gs,128,fusion,0.04,0.04,0.05,0.03,0.08,0.20,0.04,0.06,0.11,0.02,0.03,0.05,59.46,,,,
eval.gs.e5.lr0.001.d128.nn[20].fs0.STE.fusion,gs,128,fusion,13.21,9.65,6.00,20.55,36.74,45.71,18.57,26.06,29.14,16.35,21.43,22.89,49.84,,,,
eval.gs.e5.lr0.001.d128.nn[20].fs0.STEL.fusion,gs,128,fusion,11.85,8.19,5.07,18.59,31.50,38.87,16.68,22.72,25.25,14.65,18.91,20.10,50.47,,,,
,,,,,,,,,,,,,,,,,,,,
eval.gin.e5.lr0.001.d32.nn[20].fs0.SE.sum,gin,32,sum,0.03,0.03,0.04,0.03,0.06,0.16,0.03,0.05,0.09,0.02,0.03,0.04,50.00,,,,
eval.gin.e5.lr0.001.d64.nn[20].fs0.SE.sum,gin,64,sum,0.07,0.05,0.06,0.05,0.09,0.22,0.06,0.07,0.13,0.03,0.04,0.06,50.00,,,,
eval.gin.e5.lr0.001.d128.nn[20].fs0.SE.sum,gin,128,sum,0.05,0.06,0.05,0.04,0.11,0.20,0.05,0.09,0.13,0.03,0.05,0.07,50.00,,,,
eval.gs.e5.lr0.001.d32.nn[20].fs0.SE.sum,gs,32,sum,0.03,0.04,0.04,0.02,0.07,0.15,0.02,0.05,0.09,0.01,0.03,0.04,66.11,,,,
eval.gs.e5.lr0.001.d32.nn[20].fs0.STE.sum,gs,32,sum,20.93,15.99,13.10,23.73,44.07,68.82,25.62,34.01,43.72,19.77,26.97,32.52,63.15,,,,
eval.gs.e5.lr0.001.d32.nn[20].fs0.STEL.sum,gs,32,sum,21.65,17.96,14.07,23.92,47.99,71.39,25.63,35.95,45.36,19.53,28.07,33.66,55.50,,,,
eval.gs.e5.lr0.001.d64.nn[20].fs0.SE.sum,gs,64,sum,0.04,0.05,0.05,0.03,0.09,0.19,0.04,0.07,0.11,0.02,0.04,0.05,59.63,,,,
eval.gs.e5.lr0.001.d64.nn[20].fs0.STE.sum,gs,64,sum,11.93,8.98,5.80,17.99,33.97,43.85,16.34,23.75,27.11,14.26,19.29,20.86,49.83,,,,
eval.gs.e5.lr0.001.d64.nn[20].fs0.STEL.sum,gs,64,sum,12.11,8.81,5.40,19.41,34.75,42.64,17.59,24.72,27.44,15.76,20.62,21.90,50.62,,,,
eval.gs.e5.lr0.001.d128.nn[20].fs0.SE.sum,gs,128,sum,0.05,0.06,0.06,0.04,0.12,0.24,0.06,0.09,0.14,0.04,0.05,0.07,59.58,,,,
eval.gs.e5.lr0.001.d128.nn[20].fs0.STE.sum,gs,128,sum,13.43,9.64,6.22,19.98,35.69,45.24,18.10,25.36,28.74,15.51,20.59,22.29,49.05,,,,
eval.gs.e5.lr0.001.d128.nn[20].fs0.STEL.sum,gs,128,sum,12.39,9.35,5.71,19.76,36.39,44.14,17.60,25.40,28.09,15.52,20.80,22.10,48.74,,,,
